Cancer Basal SC,Cancer Cycling,Cancer Her2 SC,Cancer LumA SC,Cancer LumB SC
S100A8,CD24,SCGB1B2P,SCGB2A2,SLC39A6
S100A9,S100A8,CD24,SCGB1D2,DHRS2
FDCSP,S100A9,MUCL1,PIP,AGR3
SAA1,MUCL1,CALML5,ELF3,COX6C
S100P,STMN1,MIEN1,SCGB2A1,H2AFJ
RARRES1,S100A2,KRT7,S100A14,AGR2
MGST1,UBE2C,DBI,AGR2,TSPAN13
S100A7,S100A7,ERBB2,AZGP1,ANKRD30A
MGP,MGST1,IDH2,KRT18,STC2
CALML5,HIST1H4C,KRT19,TFF1,STARD10
KRT7,KRT7,GRB7,CLDN4,MAGED2
EPCAM,TUBB,SPINT2,S100A1,MLLT4
C6orf15,TK1,SLPI,CLDN3,AZGP1
S100A2,EPCAM,SERINC2,ANKRD30A,XBP1
CSTB,C6orf15,FABP7,KRT19,KRT19
CRABP1,RARRES1,S100A8,CALML5,FXYD3
CD24,HMGA1,CLDN3,EFNA1,CRABP2
PFDN2,IDH2,S100A9,KRT8,ARMT1
MARCKSL1,CKS1B,RP11-206M11.7,MUC1,CCND1
LDHB,CENPF,KRT8,AGR3,MRPS30
KRT17,SERPINB3,ATG5,TFF3,SLC9A3R1
TPD52L1,AIM1,PERP,GPRC5A,GATA3
SERPINB3,KRT17,CRIP2,GDF15,LGALS3BP
PERP,CKB,TFF3,S100A13,MYEOV2
CCND1,DBI,SPDEF,TSTD1,SMIM22
YBX1,PERP,C17orf89,CYB5A,ESR1
UQCRH,ATG5,ALDOA,SMIM22,GSTM3
RPS17,BIRC5,TFAP2B,RP11-206M11.7,DNAJC12
CRYAB,STRA13,NQO1,CRABP2,GJA1
KRT16,GGCT,TMC5,BTG2,TPD52
S100A16,SPINT2,SCD,PYCARD,PIP
MDK,HMGB3,HEBP2,WFDC2,RP11-53O19.1
HMGA1,PFDN2,TM7SF2,HSPB1,ZNF703
SLPI,CENPW,SQLE,PPDPF,MZT2B
ATP1B1,PKM,AIM1,DEGS2,AC018816.3
PFN2,CSTB,NUPR1,XBP1,SDC4
KDELR2,SAA1,C6orf203,SPINT2,FSIP1
UCHL1,FABP7,CLDN4,ZG16B,ELP2
TPI1,FABP5,P4HB,CLDN7,GDAP1
TMEM123,YBX1,PKM,PYDC1,KRT18
TACSTD2,LSM4,KRT18,CLU,BMPR1B
SAA2,HN1,PPDPF,ESR1,CST3
RPS20,HMGN2,MGST1,FXYD3,CHPT1
RPS2,RRM2,SCGB2A2,TACSTD2,C1orf64
NSMCE4A,S100A16,GGCT,MLPH,PRSS23
S100A14,TYMS,FDPS,TRPS1,VMP1
ATP5C1,ENO1,NDUFB9,GATA3,TMEM150C
P4HB,UBE2T,MIF,RHOB,GPRC5A
ANXA2,P4HB,FXYD3,COX6C,IFI27
GSTP1,KIAA0101,PLA2G16,MGST1,ELF3
DSC2,UQCRH,LMTK3,GLUL,SPINT2
KRT15,PFN2,PSMD3,TSPAN13,MLPH
MDH2,KRT19,CD9,LTF,TBC1D9
PHB2,CDC20,LGALS3,MIF,IER3
RPL13A,HMGB1,HPD,CD9,MGP
KRT6B,SIVA1,EFHD1,CA2,RPL7
ENO1,NUCKS1,MARCKSL1,SPDEF,ANAPC11
ZG16B,ANXA2,TMED3,UQCRQ,RAMP1
RPL4,C6orf203,CLDN7,SLC39A6,RPL38
KLK6,CHCHD2,EPHX1,H1F0,GADD45G
KRT19,RANBP1,EGLN3,MGP,SCGB1D2
STRAP,MARCKSL1,CHCHD2,NUPR2,RPL23
HDAC2,MKI67,TXN,SRP9,BLVRB
WFDC2,EIF4EBP1,CLEC3A,AP000769.1,DCXR
PPA1,NUSAP1,AKR1A1,LRRC26,ZG16B
RPL7,ALDOA,BNIP3,S100A16,MDK
SFRP1,CALML5,AZGP1,TFPI2,COX6A1
CDKN2A,S100P,RAB25,BHLHE40,IL6ST
MLF2,DTYMK,C14orf1,ADIRF,SMIM14
SPINT2,LY6D,REEP6,FASN,MRPL12
PRDX6,CDK1,PAFAH1B3,NME2,ATP5H
LY6D,PTTG1,ENO1,DCXR,VPS37A
SNRPE,SFN,PRDX1,SMIM14,CGA
KRT6A,AP2S1,LINC01285,CA12,RP11-206M11.7
S100A11,CCT6A,EPCAM,SCCPDH,GLUL
FKBP4,PAFAH1B3,CKB,SCGB3A1,NPY1R
PABPC1,FDPS,PLPP2,FOXA1,TMEM258
MRPL51,H2AFZ,TACSTD2,PBX1,H1F0
SPTSSA,MIF,TM4SF1,KRT23,HES1
CCT3,NQO1,S100A14,SH3BGRL,TRPS1
PDIA6,SNRPG,IGFBP5,CYP4Z1,SEMA3C
TNFRSF11B,HEBP2,BLVRB,STC2,NME1
NDUFA4,TPI1,HILPDA,NBEAL1,ISOC1
CXCL17,CCND1,TNFSF10,IER3,UGCG
TKT,SPTSSA,ANXA2,CD46,RBP1
NME4,H2AFV,PPP1R1B,H2AFJ,ADIRF
TOMM20,SNRPE,SYNGR2,DSP,HIST1H2BD
CKB,CCT5,AR,AR,KRT8
PDZK1IP1,SERINC2,DSP,SHISA2,TRH
NGFRAP1,TNFRSF12A,FASN,SSFA2,EPCAM
